Publication,General Category Name,Award,Entry
The New York Times,Story Page Design: International,Gold,Who Gets to Breathe Clean Air in New Delhi?
The New York Times,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Gold,The African-American Art Shaping the 21st Century
NRC MEDIA,Story Page Design: Gender/Identity & Social Issues,Gold,Illegal with friends. The lives of Ali and Amadu.
The New York Times,Infographics: Environment & Science,Gold,Who Gets to Breathe Clean Air in New Delhi?
The New York Times,Infographics: Health/Coronavirus,Gold,Coronavirus in the U.S.: Latest Map and Case Count
The Washington Post,Infographics: Health/Coronavirus,Gold,"Why outbreaks like coronavirus spread exponentially, and how to “flatten the curve”"
The Marshall Project,Format: Use of Video,Gold,Welcome to The Zo
POLITIKEN,Format: Use of Photography or Photo Story,Gold,Blue Sky
The New York Times,Line of Coverage: Long-form Series,Gold,Long Form
The New York Times,Line of Coverage: Public Service,Gold,The New York Times: Inequality
The New York Times,Line of Coverage: Public Service,Gold,The New York Times: Trackers
The New York Times,Portfolio: Infographics (Staff),Gold,The New York Times: Non-Virus
The New York Times,Story Page Design: International,Silver,How a Massive Bomb Came Together in Beirut’s Port
The New York Times,Story Page Design: National,Silver,Coronavirus in the U.S.: Latest Map and Case Count
NRK,Story Page Design: Environment & Science,Silver,Your Climate Future
The New York Times,Story Page Design: Environment & Science,Silver,Who Gets to Breathe Clean Air in New Delhi?
Reuters,Story Page Design: Health/Coronavirus,Silver,Stopping the spread: Reaching herd immunity through vaccination
The New York Times,Story Page Design: Health/Coronavirus,Silver,How the Virus Got Out
TASS Russian News Agency,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Silver,D generation
The Globe and Mail,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Silver,Canada's next top chefs
Adresseavisen,Story Page Design: Other,Silver,Followed
The New York Times,Infographics: Politics,Silver,How the Iowa Caucuses Work
The New York Times,Infographics: International,Silver,How the Virus Got Out
The New York Times,Infographics: International,Silver,Who Gets to Breathe Clean Air in New Delhi?
The New York Times,Infographics: National,Silver,How the Virus Won
The New York Times,Infographics: National,Silver,An Incalculable Loss
The New York Times,Infographics: National,Silver,How the Police Killed Breonna Taylor
National Geographic,Infographics: Environment & Science,Silver,Everest from Above
The New York Times,Infographics: Health/Coronavirus,Silver,This 3-D Simulation Shows Why Social Distancing Is So Important
The Washington Post,Format: Use of Original/Commissioned Illustration (single),Silver,Pieces of a president
Ruptly,Format: Use of Video,Silver,Dyatlov Group's Journal: The Last Page
South China Morning Post,Format: Use of Video,Silver,China’s Rebel City - The Hong Kong Protests
San Francisco Chronicle,Format: Use of Photography or Photo Story,Silver,"Theo, Homeless at age 7"
Reuters,Line of Coverage: Breaking News,Silver,California wildfires coverage
Reuters,Line of Coverage: Coronavirus,Silver,Coronavirus graphics
The New York Times,Line of Coverage: Coronavirus,Silver,Coronavirus - Health
The New York Times,Line of Coverage: Coronavirus,Silver,Covid Coverage
The Marshall Project,Line of Coverage: Long-form Series,Silver,Mauled: When Police Dogs Are Weapons
The Markup,"Product: Best new or redesigned product, site, page or app",Silver,Blacklight
Helsingin Sanomat,Experimental design,Silver,Climate Crisis Font
Reuters,Portfolio: Story Page Design (Individual),Silver,Samuel Granados
The New York Times,Portfolio: Story Page Design (Individual),Silver,Gabriel Gianordoli
The New York Times, Portfolio: Story Page Design (Staff),Silver,The New York Times
The Washington Post,Portfolio: Infographics (Individual),Silver,Harry Stevens
The New York Times,Portfolio: Infographics (Staff),Silver,The New York Times: Virus
The Washington Post,Portfolio: Infographics (Staff),Silver,The Washington Post
